"JOIN WITH US !";"JOIN WITH US !"
"_SITE_DESCRIPTION_OVERVIEW";"The social network about books allowing everyone to share the books they love or their own products""Facebook Integration";"Tích hợp Facebook"
"Twitter Integration";"Twitter Integration"
"";""
"Twitter Integration";"Tích hợp Twitter"
"USER_ADMIN_SETTINGS_JANRAIN_DESCRIPTION";"You can now integrate social sign-in
and sharing with sites such as Facebook, Twitter, Google, and LinkedIn using 
<a href=""%1$s"" target=""_blank"">Janrain</a>. You can import members from
the Facebook and Twitter integration <a href=""%2$s"">here</a>.
<a class=""admin help"" href=""%3$s"" target=""_blank""> </a>"
"Linking your Facebook account will let you login with Facebook and publish content to your Facebook wall.";"Liên kết với tài khoản Facebook của bạn sẽ cho phép bạn đăng nhập với Facebook và đăng nội dung lên tường."
"Linking your Twitter account will let you login with Twitter and publish content to your Twitter feed.";"Linking your Twitter account will let you login with Twitter and publish content to your Twitter feed."
"Linking your Twitter account will let you login with Twitter and publish content to your Twitter feed.";"Liên kết với tài khoản Twitter của bạn, sẽ cho phép bạn đăng nhập vào Twitter và đăng những nội dung lên feed."
"Twitter Integration";"Twitter Integration"
"Linking your Twitter account will let you login with Twitter and publish content to your Twitter feed.";"Linking your Twitter account will let you login with Twitter and publish content to your Twitter feed."
"Linking your Facebook account will let you login with Facebook and publish content to your Facebook wall.";"Linking your Facebook account will let you login with Facebook and publish content to your Facebook wall."
